id,gamedate,homeid,awayid
2022020281,2022-11-20T00:00:00Z,52,5
2022020282,2022-11-20T01:00:00Z,19,24
2022020283,2022-11-20T01:00:00Z,30,12
2022020284,2022-11-20T01:00:00Z,25,2
2022020285,2022-11-20T01:00:00Z,18,14
2022020286,2022-11-20T03:00:00Z,55,26
2022020287,2022-11-20T03:00:00Z,22,54
2022020288,2022-11-20T03:30:00Z,28,3
2022020289,2022-11-20T23:00:00Z,29,13
2022020290,2022-11-21T00:00:00Z,16,5
2022020291,2022-11-22T00:00:00Z,14,6
2022020292,2022-11-22T00:00:00Z,4,20
2022020293,2022-11-22T00:00:00Z,1,22
2022020294,2022-11-22T00:30:00Z,52,12
2022020295,2022-11-22T00:30:00Z,10,2
2022020296,2022-11-22T01:00:00Z,19,24
2022020297,2022-11-22T01:00:00Z,18,53
2022020298,2022-11-22T01:30:00Z,25,21
2022020299,2022-11-22T03:30:00Z,28,9
2022020300,2022-11-22T03:30:00Z,23,54
2022020301,2022-11-23T00:00:00Z,8,7
2022020302,2022-11-23T03:30:00Z,26,3
2022020303,2022-11-24T00:00:00Z,12,53
2022020304,2022-11-24T00:00:00Z,13,6
2022020305,2022-11-24T00:00:00Z,5,20
2022020306,2022-11-24T00:00:00Z,29,8
2022020307,2022-11-24T00:00:00Z,7,19
2022020308,2022-11-24T00:00:00Z,1,10
2022020309,2022-11-24T00:00:00Z,30,52
2022020311,2022-11-24T00:00:00Z,17,18
2022020310,2022-11-24T00:30:00Z,2,22
2022020312,2022-11-24T00:30:00Z,15,4
2022020313,2022-11-24T01:30:00Z,25,16
2022020314,2022-11-24T03:00:00Z,24,3
2022020315,2022-11-24T03:00:00Z,54,9
2022020316,2022-11-24T03:00:00Z,55,28
2022020317,2022-11-24T03:00:00Z,21,23
2022020318,2022-11-25T18:00:00Z,6,12
2022020319,2022-11-25T19:00:00Z,15,20
2022020320,2022-11-25T19:00:00Z,18,21
2022020321,2022-11-25T19:00:00Z,16,8
2022020322,2022-11-25T19:00:00Z,30,10
2022020323,2022-11-25T20:00:00Z,24,9
2022020324,2022-11-25T22:30:00Z,4,5
2022020325,2022-11-26T01:00:00Z,17,53
2022020326,2022-11-26T01:00:00Z,29,2
2022020327,2022-11-26T01:00:00Z,7,1
2022020328,2022-11-26T01:00:00Z,14,19
2022020329,2022-11-26T01:00:00Z,54,55
2022020330,2022-11-26T01:30:00Z,25,52
2022020331,2022-11-26T03:30:00Z,28,26
2022020332,2022-11-26T18:00:00Z,3,22
2022020333,2022-11-26T21:00:00Z,12,20
2022020334,2022-11-26T23:30:00Z,13,19
2022020335,2022-11-27T00:00:00Z,5,10
2022020336,2022-11-27T00:00:00Z,1,15
2022020337,2022-11-27T00:30:00Z,2,4
2022020338,2022-11-27T01:00:00Z,18,29
2022020339,2022-11-27T02:00:00Z,21,25
2022020340,2022-11-27T03:00:00Z,54,23
2022020341,2022-11-27T19:00:00Z,30,53
2022020342,2022-11-28T00:00:00Z,16,52
2022020343,2022-11-28T01:00:00Z,24,55
2022020344,2022-11-28T01:00:00Z,28,23
2022020345,2022-11-28T03:30:00Z,26,9
2022020346,2022-11-29T00:00:00Z,3,1
2022020347,2022-11-29T00:00:00Z,7,14
2022020348,2022-11-29T00:00:00Z,17,10
2022020349,2022-11-29T00:00:00Z,29,54
2022020350,2022-11-29T01:00:00Z,19,25
2022020351,2022-11-29T02:30:00Z,22,13
2022020352,2022-11-30T00:00:00Z,5,12
2022020354,2022-11-30T00:00:00Z,8,28
2022020355,2022-11-30T00:00:00Z,6,14
2022020353,2022-11-30T00:30:00Z,4,2
2022020356,2022-11-30T01:00:00Z,18,24
2022020357,2022-11-30T01:00:00Z,52,21
2022020358,2022-11-30T02:00:00Z,20,13
2022020359,2022-11-30T03:00:00Z,23,15
2022020360,2022-11-30T03:30:00Z,26,55
2022020361,2022-12-01T00:00:00Z,17,7
2022020362,2022-12-01T00:00:00Z,9,3
2022020363,2022-12-01T00:00:00Z,10,28
2022020364,2022-12-01T02:30:00Z,16,22
2022020365,2022-12-02T00:00:00Z,7,21
2022020366,2022-12-02T00:00:00Z,1,18
2022020367,2022-12-02T00:00:00Z,4,14
2022020368,2022-12-02T00:00:00Z,5,54
2022020369,2022-12-02T01:00:00Z,19,12
2022020370,2022-12-02T01:00:00Z,30,22
2022020371,2022-12-02T01:30:00Z,25,24
2022020372,2022-12-02T02:00:00Z,20,8
2022020373,2022-12-02T03:00:00Z,23,13
2022020374,2022-12-02T03:00:00Z,55,15
2022020375,2022-12-02T03:30:00Z,26,53
2022020376,2022-12-03T00:00:00Z,3,9
2022020377,2022-12-03T00:30:00Z,2,18
2022020378,2022-12-03T01:00:00Z,52,29
2022020379,2022-12-03T19:00:00Z,30,24
2022020380,2022-12-04T00:00:00Z,6,21
2022020381,2022-12-04T00:00:00Z,22,8
2022020382,2022-12-04T00:00:00Z,4,1
2022020383,2022-12-04T00:00:00Z,9,28
2022020384,2022-12-04T00:00:00Z,5,19
2022020385,2022-12-04T00:00:00Z,14,10
2022020386,2022-12-04T00:00:00Z,17,54
